# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myChunk[1] c_myChunk[2] c_myChunk[3] c_myChunk[4]
10000 729
241 1.93656 3.40367 40.899 46.2392
242 19.5633 4.05244 9.31819 32.9339
243 16.7373 3.04887 6.42589 26.2121
244 2.54433 2.07876 8.55888 13.182
245 1.85917 10.6406 1.38652 13.8863
246 4.0155 3.34068 10.931 18.2872
247 1.52279 0.974152 20.045 22.542
248 2.9919 3.39265 6.77707 13.1616
249 1.80544 1.34263 1.50067 4.64874
250 2.57486 7.00511 1.58816 11.1681
251 0.827651 28.4831 12.9278 42.2385
252 12.2047 4.5771 4.21354 20.9954
253 1.76134 2.03053 3.16993 6.9618
254 0.485931 3.63125 16.1925 20.3096
255 24.7425 1.33993 45.5191 71.6016
256 10.2027 4.99255 1.16901 16.3642
257 4.50737 11.4052 1.98473 17.8973
258 9.1761 17.9688 5.0453 32.1902
259 1.78461 8.42938 6.24088 16.4549
260 4.26027 40.4641 33.4356 78.1599
261 10.015 1.17749 2.71102 13.9035
262 10.8604 2.77853 6.30451 19.9434
263 1.90729 1.01202 7.3443 10.2636
264 6.91777 8.23556 6.61589 21.7692
265 21.8921 4.03255 5.52036 31.4451
266 4.57022 3.38594 3.55044 11.5066
267 3.0545 1.54652 1.72212 6.32314
268 10.9915 8.45338 4.29235 23.7372
269 28.3634 4.28755 2.28505 34.936
270 1.53044 1.7554 4.41147 7.69732
271 6.44225 5.60854 14.0964 26.1472
272 1.58303 20.0301 1.48605 23.0992
273 3.44208 11.6422 0.875197 15.9594
274 17.6375 1.64731 25.3005 44.5853
275 3.40083 2.79028 7.22066 13.4118
276 1.42278 1.92618 3.13355 6.48251
277 8.03304 10.1826 3.04907 21.2647
278 3.72284 2.79299 1.16942 7.68525
279 5.79708 10.2196 5.90533 21.922
280 14.8216 1.17003 1.9663 17.958
281 10.85 0.939145 1.25055 13.0397
282 5.02465 7.20697 6.38227 18.6139
283 2.67436 6.39964 5.63164 14.7056
284 4.97485 4.40557 1.66646 11.0469
285 1.65966 3.02534 0.836085 5.52109
286 4.03047 1.59402 0.680025 6.30452
287 3.56748 4.96971 3.69 12.2272
288 2.06909 4.83017 30.4366 37.3359
289 3.33925 3.03178 1.81362 8.18465
290 4.42121 0.553566 11.2584 16.2331
291 11.7936 1.5639 15.6311 28.9886
292 4.28707 12.9727 1.76687 19.0266
293 17.4757 22.4082 8.77724 48.6612
294 9.08022 4.15087 6.95582 20.1869
295 13.7187 7.92531 4.43576 26.0798
296 6.24865 4.16125 1.76082 12.1707
297 4.22782 6.26192 4.63223 15.122
298 5.92647 25.3517 2.79496 34.0731
299 4.53251 2.9301 1.89273 9.35534
300 21.1415 12.1417 1.27471 34.5579
301 11.756 10.7583 32.9203 55.4347
302 13.3545 1.67538 4.25831 19.2882
303 5.92177 13.6589 3.09457 22.6753
304 3.84986 4.03293 29.5727 37.4555
305 1.55339 4.90651 0.968474 7.42837
306 7.03423 6.63757 7.08329 20.7551
307 3.82811 1.10342 33.7136 38.6452
308 3.60916 2.5662 11.3744 17.5498
309 0.85857 5.40117 2.7268 8.98653
310 19.3254 5.7639 6.99059 32.0799
311 26.6624 43.2372 7.10031 77
312 1.24666 62.991 16.0875 80.3252
313 1.47936 10.03 3.09587 14.6052
314 55.9931 7.12804 19.9751 83.0962
315 6.58391 0.967724 6.09604 13.6477
316 2.0042 13.0665 1.39441 16.4651
317 15.6748 5.05356 5.61826 26.3466
318 8.77364 2.14014 2.58029 13.4941
319 0.711942 17.703 10.0989 28.5138
320 0.651133 1.05365 11.1518 12.8566
321 9.29801 4.13742 1.93427 15.3697
322 0.871292 15.8299 27.3869 44.0881
323 3.98666 8.01285 6.86336 18.8629
324 2.89444 20.9615 4.28048 28.1364
325 2.89436 12.8463 24.0838 39.8245
326 28.0616 2.33431 10.0052 40.4012
327 1.87339 25.2974 3.34282 30.5136
328 11.2023 10.4723 1.67952 23.3541
329 5.79957 2.47065 3.56455 11.8348
330 7.7603 24.4407 1.0852 33.2862
331 1.38666 4.57608 7.26432 13.2271
332 11.5144 6.52091 4.76802 22.8033
333 3.56107 4.79225 10.2769 18.6302
334 0.851269 1.46142 19.3414 21.6541
335 14.9681 2.10229 3.72665 20.797
336 0.930473 1.57613 0.979088 3.48569
337 1.0239 5.55902 5.23421 11.8171
338 22.2871 18.8088 14.6699 55.7658
339 0.491977 2.62584 0.700528 3.81834
340 3.80382 5.36849 4.18158 13.3539
341 0.592305 5.93144 7.34291 13.8667
342 4.10749 2.2416 2.29621 8.6453
343 1.50124 1.44111 21.0762 24.0186
344 12.3852 2.18747 4.77577 19.3484
345 1.78767 2.18129 1.03498 5.00394
346 14.3854 0.572275 1.35156 16.3093
347 5.11526 11.8606 4.18266 21.1585
348 1.35617 7.60738 4.13094 13.0945
349 1.24127 5.33687 12.3919 18.97
350 4.10401 1.51578 14.1642 19.784
351 0.807144 19.8708 1.26644 21.9444
352 1.66672 10.5534 1.17457 13.3947
353 2.09742 53.5438 0.696089 56.3373
